2021-11-30T10,89
2021-11-30T11,84
2021-11-30T12,84
2021-11-30T13,78
2021-11-30T14,81
2021-11-30T15,79
2021-11-30T16,79
2021-12-01T10,92
2021-12-01T11,86
2021-12-01T12,84
2021-12-01T13,83
2021-12-01T14,81
2021-12-01T15,77
2021-12-01T16,78
2021-12-02T10,90
2021-12-02T11,85
2021-12-02T12,85
2021-12-02T13,82
2021-12-02T14,80
2021-12-02T15,76
2021-12-02T16,78
2021-12-03T10,88
2021-12-03T11,87
2021-12-03T12,83
2021-12-03T13,81
2021-12-03T14,81
2021-12-03T15,80
2021-12-03T16,77
2021-12-04T10,87
2021-12-04T11,83
2021-12-04T12,80
2021-12-04T13,77
2021-12-04T14,79
2021-12-04T15,76
2021-12-04T16,71
2021-12-05T10,82
2021-12-05T11,84
2021-12-05T12,80
2021-12-05T13,78
2021-12-05T14,75
2021-12-05T15,74
2021-12-05T16,71
2021-12-06T10,90
2021-12-06T11,87
2021-12-06T12,83
2021-12-06T13,81
2021-12-06T14,79
2021-12-06T15,81
2021-12-06T16,79
