2021-11-30T10,84
2021-11-30T11,87
2021-11-30T12,82
2021-11-30T13,83
2021-11-30T14,81
2021-11-30T15,83
2021-11-30T16,93
2021-12-01T10,84
2021-12-01T11,85
2021-12-01T12,87
2021-12-01T13,84
2021-12-01T14,84
2021-12-01T15,96
2021-12-01T16,100
2021-12-02T10,96
2021-12-02T11,80
2021-12-02T12,85
2021-12-02T13,89
2021-12-02T14,83
2021-12-02T15,86
2021-12-02T16,85
2021-12-03T10,97
2021-12-03T11,93
2021-12-03T12,96
2021-12-03T13,88
2021-12-03T14,89
2021-12-03T15,93
2021-12-03T16,89
2021-12-04T10,27
2021-12-04T11,28
2021-12-04T12,27
2021-12-04T13,20
2021-12-04T14,23
2021-12-04T15,26
2021-12-04T16,28
2021-12-05T10,23
2021-12-05T11,21
2021-12-05T12,21
2021-12-05T13,19
2021-12-05T14,23
2021-12-05T15,22
2021-12-05T16,22
2021-12-06T10,87
2021-12-06T11,81
2021-12-06T12,76
2021-12-06T13,81
2021-12-06T14,75
2021-12-06T15,78
2021-12-06T16,92
